6  2.55303	8.599234e-02	2.372980e-01	1.522089e+00	-2.248076e-02	
4  3.03841	8.599234e-02	2.372980e-01	1.552156e+00	9.941274e-02	
4  2.50035	8.599234e-02	2.372980e-01	1.229566e+00	8.511474e-01	
2  2.28195	8.599234e-02	2.372980e-01	1.437361e+00	8.379216e-01	
1  2.30183	9.527367e-02	2.574545e-01	1.393843e+00	8.376863e-01	
5  1.24766	2.829905e-01	1.441116e+00	1.738885e+00	8.801917e-01	
17  0.21751	2.829905e-01	1.441116e+00	2.076503e+00	-4.049156e-01	
3  0.307376	2.829905e-01	1.441116e+00	2.014122e+00	-3.159178e-01	
11  0.219588	2.829905e-01	1.441116e+00	2.134317e+00	-7.581447e-01	
2  0.566858	2.070471e-01	9.225055e-01	1.931974e+00	-7.777616e-01	
11  0.509422	2.070471e-01	9.225055e-01	1.861362e+00	-1.855792e-01	
3  0.569443	2.070471e-01	9.225055e-01	1.935519e+00	-8.106495e-01	
4  1.42799	1.615540e-01	6.383087e-01	1.856102e+00	-8.207885e-01	
1  0.386757	2.169507e-01	1.092842e+00	2.124067e+00	-8.018358e-01	
2  0.251456	2.169507e-01	1.092842e+00	2.083813e+00	-9.180404e-01	
7  0.243039	2.364393e-01	1.391336e+00	2.396902e+00	-9.029317e-01	
3  2.98322	2.364393e-01	1.391336e+00	2.658399e+00	-6.502380e-01	
2  1.01292	2.364393e-01	1.391336e+00	1.904990e+00	3.904568e-01	
4  0.52705	2.235052e-01	1.423134e+00	2.060191e+00	3.944323e-01	
2  1.34947	2.317055e-01	1.309413e+00	1.814069e+00	3.862133e-01	
3  0.6911	2.317055e-01	1.309413e+00	1.875693e+00	6.129865e-01	
5  0.616564	1.150360e-01	9.510614e-01	2.256984e+00	6.095499e-01	
1  0.553724	1.150360e-01	9.510614e-01	2.451669e+00	5.440842e-01	
4  0.865516	1.150360e-01	9.510614e-01	2.671439e+00	-2.782530e-01	
1  0.932345	1.150360e-01	9.510614e-01	2.695752e+00	-3.562312e-01	
1  0.908857	1.090410e-01	9.455879e-01	2.735776e+00	-3.556196e-01	
6  2.02623	1.050460e-01	1.379175e+00	3.452796e+00	-3.285812e-01	
2  2.18774	1.050460e-01	1.379175e+00	3.232425e+00	8.365363e-02	
1  0.642755	1.295913e-01	1.152991e+00	2.676051e+00	6.600842e-02	
1  1.0603	1.295913e-01	1.152991e+00	2.874281e+00	-3.474361e-01	
9  1.33024	1.295913e-01	1.152991e+00	2.709575e+00	7.800145e-01	
2  0.875736	1.096070e-01	6.108521e-01	2.015820e+00	7.501442e-01	
1  1.61034	1.096070e-01	6.108521e-01	2.071177e+00	8.183167e-01	
6  2.44971	1.096070e-01	6.108521e-01	2.190316e+00	2.654696e-01	
10  0.487623	2.460946e-01	1.218541e+00	2.041823e+00	2.809688e-01	
4  0.253857	2.460946e-01	1.218541e+00	1.926475e+00	2.413775e-01	
7  1.00501	2.460946e-01	1.218541e+00	1.723284e+00	6.286001e-01	
4  1.20378	2.460946e-01	1.218541e+00	1.785076e+00	-3.197505e-01	
1  0.504157	2.460946e-01	1.218541e+00	1.961039e+00	-9.724839e-01	
6  0.264005	2.460946e-01	1.218541e+00	2.059570e+00	-7.686296e-01	
6  0.206096	2.492562e-01	1.345872e+00	2.234949e+00	-7.613725e-01	
2  0.530161	2.492562e-01	1.345872e+00	2.308213e+00	-7.097009e-01	
11  0.458767	2.494078e-01	1.147706e+00	1.994098e+00	-7.217946e-01	
2  0.45897	2.693322e-01	1.473823e+00	2.347263e+00	-7.050721e-01	
1  0.62304	2.693322e-01	1.473823e+00	1.963306e+00	-2.893880e-02	
4  0.788588	2.693322e-01	1.473823e+00	2.296049e+00	1.409984e-01	
1  0.10694	2.693322e-01	1.473823e+00	2.123137e+00	-4.716176e-03	
1  0.347992	1.621904e-01	1.044045e+00	2.314312e+00	-1.400490e-02	
6  0.585104	1.015624e-01	8.860102e-01	2.556954e+00	-1.407408e-02	
4  0.583612	1.015624e-01	8.860102e-01	2.596402e+00	-2.244857e-01	
1  2.52808	1.015624e-01	8.860102e-01	2.070252e+00	7.208111e-02	
3  1.66707	1.720910e-01	1.162351e+00	1.934032e+00	7.779543e-02	
1  0.133542	1.720910e-01	1.162351e+00	2.170231e+00	8.082392e-01	
3  0.112257	7.059013e-02	3.693448e-01	1.742114e+00	7.759380e-01	
3  0.207716	7.059013e-02	3.693448e-01	1.894085e+00	-4.902954e-01	
7  0.105801	7.059013e-02	3.693448e-01	1.733507e+00	6.665425e-01	
2  0.180565	1.032848e-01	7.077044e-01	2.002335e+00	6.819977e-01	
1  0.194635	1.032848e-01	7.077044e-01	2.099426e+00	8.641937e-01	
2  0.374547	9.896532e-02	7.658340e-01	2.226272e+00	8.684151e-01	
4  0.642348	9.896532e-02	7.658340e-01	2.311680e+00	8.930796e-01	
5  0.534568	9.896532e-02	7.658340e-01	2.438651e+00	-6.650309e-02	
1  1.70903	9.896532e-02	7.658340e-01	2.009361e+00	-3.111270e-01	
1  1.95373	5.275408e-02	3.496210e-01	1.727334e+00	-3.291936e-01	
4  2.13217	8.177835e-02	6.596986e-01	1.981303e+00	-3.148824e-01	
2  1.41059	1.367403e-01	1.330756e+00	2.594667e+00	-2.826732e-01	
6  0.900846	1.367403e-01	1.330756e+00	2.731909e+00	-8.403385e-02	
1  0.897104	1.181585e-01	4.910298e-01	1.556909e+00	-1.322506e-01	
1  2.67889	1.181585e-01	4.910298e-01	1.397849e+00	-2.709565e-01	
1  0.716324	1.181585e-01	4.910298e-01	1.592009e+00	-1.431845e-01	
5  0.320619	5.472277e-02	2.525768e-01	1.730471e+00	-1.477092e-01	
1  0.222184	1.411019e-01	8.134137e-01	1.914772e+00	-1.271654e-01	
4  0.0375986	1.411019e-01	8.134137e-01	2.006875e+00	-3.264020e-01	
13  0.0653072	1.411019e-01	8.134137e-01	2.041231e+00	-7.690722e-01	
2  0.734751	1.411019e-01	8.134137e-01	1.842843e+00	-3.141425e-01	
8  0.552651	5.961008e-02	3.344358e-01	1.748116e+00	-3.304709e-01	
1  0.611286	1.453667e-01	9.097270e-01	1.960292e+00	-3.089485e-01	
1  0.720467	1.453667e-01	9.097270e-01	2.215907e+00	6.476315e-01	
2  1.07579	1.453667e-01	9.097270e-01	1.955083e+00	-8.881452e-01	
13  1.29784	2.393252e-01	1.439492e+00	2.028796e+00	-8.706886e-01	
4  0.402513	2.393252e-01	1.439492e+00	2.486396e+00	-9.854135e-01	
1  0.281881	2.393252e-01	1.439492e+00	2.191570e+00	9.803414e-01	
11  0.206556	2.393252e-01	1.439492e+00	2.437290e+00	-9.705641e-01	
5  0.0644818	2.393252e-01	1.439492e+00	2.278827e+00	-8.712394e-01	
2  0.0964189	2.393252e-01	1.439492e+00	2.363183e+00	-6.865091e-01	
4  0.177302	1.932705e-01	9.926748e-01	2.031565e+00	-7.064643e-01	
# After 85 accepted steps: stop adapting the jumping factor at a value of 2.322635 with a local acceptance rate 0.212500 
2  0.43215	1.638723e-01	1.237019e+00	2.656007e+00	-6.869481e-01	
9  0.457527	1.638723e-01	1.237019e+00	2.652836e+00	-6.215556e-01	
1  0.0963234	2.088928e-01	1.181522e+00	2.199746e+00	-6.320320e-01	
1  0.0778763	2.392464e-01	1.345716e+00	2.212590e+00	-6.268158e-01	
1  0.102674	2.392464e-01	1.345716e+00	2.161435e+00	2.280223e-02	
12  0.157902	2.392464e-01	1.345716e+00	2.124285e+00	-6.194062e-01	
2  0.284582	2.392464e-01	1.345716e+00	2.294671e+00	-5.576091e-01	
1  0.51345	2.418396e-01	1.480478e+00	2.486395e+00	-5.498099e-01	
4  0.583054	2.418396e-01	1.480478e+00	2.133183e+00	-6.367615e-01	
1  0.146333	2.418396e-01	1.480478e+00	2.195676e+00	8.286046e-01	
2  0.108569	2.418396e-01	1.480478e+00	2.203286e+00	6.718117e-01	
3  0.222374	1.089649e-01	7.930615e-01	2.196569e+00	6.508870e-01	
8  0.0612647	1.412309e-01	8.261268e-01	1.986848e+00	6.478150e-01	
4  0.316695	1.204473e-01	5.580673e-01	1.732326e+00	6.347642e-01	
2  0.222203	1.351457e-01	6.490564e-01	1.756670e+00	6.379893e-01	
7  0.31122	1.351457e-01	6.490564e-01	1.815029e+00	4.405435e-01	
2  0.235809	2.165081e-01	1.375185e+00	2.301034e+00	4.719457e-01	
8  0.153109	2.165081e-01	1.375185e+00	2.177510e+00	-1.762013e-02	
3  1.03986	2.165081e-01	1.375185e+00	2.524736e+00	-1.789287e-01	
3  0.782361	2.165081e-01	1.375185e+00	2.489415e+00	-1.568417e-01	
6  1.00536	1.467371e-01	1.123762e+00	2.658827e+00	-1.611578e-01	
2  1.23289	1.467371e-01	1.123762e+00	2.752559e+00	-5.775186e-01	
4  1.17933	1.474035e-01	1.040223e+00	2.615250e+00	-5.827117e-01	
1  3.32914	1.183210e-01	4.779287e-01	1.963528e+00	-6.123756e-01	
9  1.98295	1.183210e-01	4.779287e-01	1.442412e+00	-3.231420e-01	
1  2.45078	1.183210e-01	4.779287e-01	1.928652e+00	-7.720170e-01	
2  0.769423	8.530000e-02	5.658132e-01	2.335469e+00	-7.614593e-01	
5  0.376214	8.530000e-02	5.658132e-01	2.080024e+00	8.364540e-01	
3  0.153726	8.530000e-02	5.658132e-01	1.928453e+00	7.367518e-01	
2  0.252629	8.530000e-02	5.658132e-01	2.039861e+00	9.189087e-01	
12  1.04125	1.283861e-01	1.155790e+00	2.621613e+00	9.480514e-01	
1  0.843481	1.693659e-01	1.283927e+00	2.491264e+00	9.493965e-01	
7  0.495889	2.266122e-01	1.484745e+00	2.343624e+00	9.526045e-01	
10  0.831066	1.779186e-01	7.300907e-01	1.547384e+00	9.143156e-01	
2  0.952233	1.779186e-01	7.300907e-01	1.542035e+00	6.904233e-01	
6  0.341417	2.332336e-01	1.211221e+00	1.852657e+00	7.110089e-01	
7  0.177075	2.332336e-01	1.211221e+00	1.940226e+00	6.501028e-01	
3  0.257997	2.064964e-01	1.007081e+00	1.834957e+00	6.418835e-01	
3  0.145654	2.605465e-01	1.407888e+00	2.029025e+00	6.577762e-01	
3  0.153148	2.605465e-01	1.407888e+00	2.170022e+00	-2.341790e-01	
1  1.45339	2.605465e-01	1.407888e+00	2.348792e+00	3.008633e-02	
5  0.618432	2.605465e-01	1.407888e+00	2.133541e+00	9.604868e-01	
2  2.84823	2.171090e-01	6.448810e-01	1.281445e+00	9.208607e-01	
2  2.68001	2.171090e-01	6.448810e-01	1.541223e+00	3.472124e-01	
5  1.12457	2.686373e-01	1.018448e+00	1.712754e+00	3.618434e-01	
5  2.34438	2.457569e-01	1.235006e+00	2.240414e+00	3.786398e-01	
5  1.43645	2.457569e-01	1.235006e+00	1.660426e+00	9.442636e-01	
3  2.66338	2.457569e-01	1.235006e+00	2.259942e+00	3.853505e-01	
3  0.636294	2.457569e-01	1.235006e+00	2.018474e+00	9.001305e-01	
2  0.444548	2.940775e-01	1.367131e+00	1.834833e+00	9.005615e-01	
1  1.52308	2.940775e-01	1.367131e+00	2.094607e+00	6.040731e-01	
10  1.04365	2.910510e-01	1.170606e+00	1.808882e+00	5.925803e-01	
4  0.977629	2.910510e-01	1.170606e+00	1.726776e+00	-8.641495e-02	
7  2.23847	2.910510e-01	1.170606e+00	1.627590e+00	-9.366810e-01	
3  0.651336	2.022647e-01	8.598771e-01	1.857724e+00	-9.416120e-01	
1  0.455272	1.920997e-01	1.132721e+00	2.371034e+00	-9.233915e-01	
