1  0.00608854	1.088627e-01	6.540761e-01	2.000000e+00	0.000000e+00	
7  0.272523	9.510329e-02	5.773711e-01	2.000000e+00	0.000000e+00	
1  0.203665	1.141616e-01	6.470912e-01	2.000000e+00	0.000000e+00	
4  0.130713	9.727753e-02	5.587865e-01	2.000000e+00	0.000000e+00	
2  1.52337	1.276339e-01	6.689943e-01	2.000000e+00	0.000000e+00	
1  1.78989	1.276339e-01	6.689943e-01	1.524931e+00	1.524989e+00	
4  1.51816	1.335866e-01	6.871919e-01	1.524931e+00	1.524989e+00	
1  1.22279	1.906312e-01	9.264802e-01	1.524931e+00	1.524989e+00	
3  1.1695	1.875921e-01	9.055113e-01	1.524931e+00	1.524989e+00	
1  1.24118	1.772241e-01	8.767404e-01	1.524931e+00	1.524989e+00	
3  1.2514	1.845614e-01	9.081986e-01	1.524931e+00	1.524989e+00	
1  1.29555	1.713392e-01	8.581023e-01	1.524931e+00	1.524989e+00	
4  1.28076	1.982197e-01	9.644750e-01	1.524931e+00	1.524989e+00	
3  1.15298	1.791195e-01	8.713085e-01	1.524931e+00	1.524989e+00	
1  1.12288	1.766553e-01	8.569235e-01	1.524931e+00	1.524989e+00	
3  1.04518	1.692893e-01	8.159986e-01	1.524931e+00	1.524989e+00	
5  1.42847	1.242057e-01	6.287360e-01	1.524931e+00	1.524989e+00	
3  1.64203	1.196985e-01	6.141064e-01	1.524931e+00	1.524989e+00	
4  1.45459	1.327053e-01	6.782489e-01	1.524931e+00	1.524989e+00	
1  1.29615	1.347889e-01	6.789631e-01	1.524931e+00	1.524989e+00	
7  1.23666	1.335710e-01	6.682179e-01	1.524931e+00	1.524989e+00	
1  0.973158	1.510117e-01	7.302767e-01	1.524931e+00	1.524989e+00	
3  1.30272	1.241535e-01	6.208660e-01	1.524931e+00	1.524989e+00	
1  1.28209	1.201943e-01	5.970408e-01	1.524931e+00	1.524989e+00	
3  0.971665	1.452260e-01	7.039231e-01	1.524931e+00	1.524989e+00	
1  0.879124	1.454787e-01	6.947164e-01	1.524931e+00	1.524989e+00	
3  0.933462	1.497439e-01	7.199609e-01	1.524931e+00	1.524989e+00	
1  0.951971	1.556032e-01	7.472949e-01	1.524931e+00	1.524989e+00	
1  1.22738	1.261534e-01	6.272565e-01	1.524931e+00	1.524989e+00	
2  1.24935	1.261534e-01	6.272565e-01	1.655584e+00	2.747289e+00	
1  0.992281	1.138749e-01	5.618057e-01	1.655584e+00	2.747289e+00	
4  0.667308	1.038627e-01	5.237490e-01	1.655584e+00	2.747289e+00	
4  1.26654	1.196918e-01	5.841693e-01	1.655584e+00	2.747289e+00	
3  1.27548	1.169261e-01	5.660994e-01	1.655584e+00	2.747289e+00	
1  0.815659	8.781810e-02	4.402018e-01	1.655584e+00	2.747289e+00	
3  0.671141	9.505999e-02	4.796385e-01	1.655584e+00	2.747289e+00	
5  0.731307	1.028526e-01	5.121302e-01	1.655584e+00	2.747289e+00	
4  0.749473	9.024195e-02	4.543842e-01	1.655584e+00	2.747289e+00	
3  1.06945	8.167608e-02	4.238972e-01	1.655584e+00	2.747289e+00	
1  0.744755	1.043674e-01	5.197900e-01	1.655584e+00	2.747289e+00	
3  0.737475	1.052330e-01	5.254913e-01	1.655584e+00	2.747289e+00	
4  0.812899	8.723960e-02	4.464062e-01	1.655584e+00	2.747289e+00	
1  0.931331	8.407652e-02	4.251311e-01	1.655584e+00	2.747289e+00	
8  1.0487	8.198151e-02	4.245480e-01	1.655584e+00	2.747289e+00	
3  0.673167	9.236661e-02	4.747449e-01	1.655584e+00	2.747289e+00	
