1  0.02031	1.749968e+00	1.029870e-01	9.949550e-01	2.582006e+00	6.212457e-01	9.770033e-01	
4  0.172467	3.433999e+00	1.178484e-01	9.571823e-01	2.678226e+00	7.412435e-01	1.002640e+00	
2  0.551663	3.433999e+00	1.178484e-01	9.571823e-01	2.678226e+00	7.412435e-01	9.872726e-01	
1  1.94332	3.578932e+00	1.113170e-01	9.657432e-01	2.720867e+00	7.652030e-01	1.031827e+00	
3  0.501726	3.493665e+00	1.096205e-01	1.055855e+00	2.825369e+00	6.881439e-01	9.973497e-01	
6  0.947866	3.493665e+00	1.096205e-01	1.055855e+00	2.825369e+00	6.881439e-01	9.910130e-01	
1  0.857288	3.493665e+00	1.096205e-01	1.055855e+00	2.825369e+00	6.881439e-01	9.919593e-01	
2  0.346578	3.214745e+00	1.210816e-01	1.015335e+00	2.278957e+00	7.443125e-01	1.014755e+00	
4  0.919867	3.578142e+00	1.158542e-01	1.027186e+00	2.268138e+00	7.962892e-01	1.078118e+00	
5  0.642851	3.225146e+00	1.124174e-01	1.019708e+00	2.571775e+00	7.256268e-01	1.009885e+00	
6  0.805967	3.225146e+00	1.124174e-01	1.019708e+00	2.571775e+00	7.256268e-01	1.008123e+00	
6  0.509964	3.225146e+00	1.124174e-01	1.019708e+00	2.571775e+00	7.256268e-01	1.011615e+00	
3  0.444571	3.225146e+00	1.124174e-01	1.019708e+00	2.571775e+00	7.256268e-01	1.012632e+00	
9  1.57206	3.344768e+00	1.225653e-01	9.263137e-01	2.770735e+00	7.337520e-01	9.291048e-01	
2  0.75327	3.344768e+00	1.225653e-01	9.263137e-01	2.770735e+00	7.337520e-01	9.347564e-01	
2  0.50745	2.437057e+00	1.047255e-01	1.078463e+00	2.424391e+00	6.376043e-01	1.031212e+00	
2  0.663033	3.544725e+00	1.146523e-01	1.082648e+00	2.179001e+00	7.553607e-01	1.105412e+00	
6  0.615972	3.544725e+00	1.146523e-01	1.082648e+00	2.179001e+00	7.553607e-01	1.103468e+00	
2  0.742384	3.544725e+00	1.146523e-01	1.082648e+00	2.179001e+00	7.553607e-01	1.095396e+00	
1  0.223374	3.592715e+00	1.291960e-01	9.847985e-01	2.511622e+00	7.334300e-01	9.467384e-01	
3  0.427841	3.542447e+00	1.217514e-01	1.015284e+00	2.708791e+00	7.271182e-01	9.387292e-01	
2  1.26231	3.542447e+00	1.217514e-01	1.015284e+00	2.708791e+00	7.271182e-01	9.261036e-01	
10  1.03796	3.629146e+00	1.251617e-01	1.079480e+00	2.429694e+00	7.280414e-01	9.580102e-01	
12  0.789561	3.629146e+00	1.251617e-01	1.079480e+00	2.429694e+00	7.280414e-01	9.485823e-01	
6  1.07513	3.629146e+00	1.251617e-01	1.079480e+00	2.429694e+00	7.280414e-01	9.431628e-01	
9  0.969813	3.629146e+00	1.251617e-01	1.079480e+00	2.429694e+00	7.280414e-01	9.445932e-01	
2  1.02614	2.850848e+00	1.166871e-01	1.155378e+00	2.361446e+00	6.450613e-01	9.375775e-01	
1  0.950896	3.610786e+00	1.318106e-01	1.102391e+00	2.150419e+00	7.055115e-01	9.608531e-01	
6  0.789895	3.610786e+00	1.318106e-01	1.102391e+00	2.150419e+00	7.055115e-01	9.625765e-01	
6  0.461329	3.610786e+00	1.318106e-01	1.102391e+00	2.150419e+00	7.055115e-01	9.685896e-01	
18  0.434588	3.610786e+00	1.318106e-01	1.102391e+00	2.150419e+00	7.055115e-01	9.703213e-01	
6  0.591426	3.610786e+00	1.318106e-01	1.102391e+00	2.150419e+00	7.055115e-01	9.653795e-01	
12  0.940023	3.610786e+00	1.318106e-01	1.102391e+00	2.150419e+00	7.055115e-01	9.609602e-01	
1  1.3963	3.610786e+00	1.318106e-01	1.102391e+00	2.150419e+00	7.055115e-01	9.571502e-01	
5  0.897115	3.297590e+00	1.233362e-01	1.142347e+00	2.444647e+00	6.617616e-01	9.106527e-01	
